claim_id,lob,loss_cause,policy_type,loss_state,insured_state,geographic_mismatch,stp_flag,reported_loss_amount,n_exposures_at_fnol,exposure_added_within_48h,fnol_date,close_date,fnol_hour,fnol_day_of_week,final_group,complexity,assignment_count,pct_manual,pct_system,pct_user_auto,n_unique_adjusters,same_adjuster_returned,final_adjuster_appeared_earlier,avg_hrs_between_events,group_label
CP-0011,Commercial Property,Flood - Sewer Backup,BOP,WV,IL,1,Y,33000.0,1,0,08/10/2024,09/21/2024,18,4,A,Medium,3.0,0.333,0.667,0.333,3.0,0.0,0.0,61.0,1
CP-0012,Commercial Property,Fire - Structure,Industrial,IL,NC,1,N,596400.0,3,1,04/30/2024,10/07/2024,17,2,C,High,5.0,0.6,0.4,0.2,3.0,1.0,1.0,89.5,3
CP-0013,Commercial Property,Water Damage - Pipe Burst,Standalone Property,IL,OH,1,Y,29000.0,3,1,11/04/2024,06/18/2025,14,1,C,High,6.0,0.667,0.333,0.167,4.0,0.0,0.0,102.6,3
CP-0014,Commercial Property,Wind/Hail - Roof,Industrial,VA,IL,1,N,18500.0,1,0,05/09/2024,10/02/2024,13,2,C,High,5.0,0.4,0.6,0.2,4.0,1.0,1.0,75.8,3
CP-0015,Commercial Property,Flood - Sewer Backup,Industrial,IN,NC,1,Y,102900.0,1,0,08/17/2024,04/09/2025,8,0,C,High,9.0,0.556,0.444,0.0,5.0,1.0,1.0,93.1,3
CP-0016,Commercial Property,Water Damage - Pipe Burst,Commercial Package,WV,KY,1,N,69300.0,1,0,04/10/2024,12/23/2024,16,5,C,High,9.0,0.778,0.222,0.111,5.0,1.0,1.0,46.1,3
CP-0017,Commercial Property,Fire - Structure,Standalone Property,PA,IN,1,N,576300.0,2,1,08/24/2024,12/26/2024,16,1,B,High,4.0,0.75,0.25,0.0,3.0,1.0,1.0,66.7,2
CP-0018,Commercial Property,Water Damage - Pipe Burst,Standalone Property,IN,IL,1,Y,39000.0,1,0,06/07/2024,02/20/2025,15,2,C,High,6.0,0.833,0.167,0.0,4.0,0.0,0.0,80.0,3
CP-0019,Commercial Property,Flood - Surface,Industrial,IL,VA,1,Y,170500.0,1,0,05/25/2024,07/30/2024,16,1,B,Medium,4.0,0.75,0.25,0.0,3.0,1.0,1.0,78.7,2
CP-0020,Commercial Property,Wind/Hail - Roof,Industrial,NY,OH,1,Y,49400.0,2,1,08/19/2024,09/26/2024,12,5,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0021,Commercial Property,Equipment Breakdown,Industrial,IL,VA,1,N,31500.0,1,0,02/29/2024,04/16/2024,17,3,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0022,Commercial Property,Water Damage - Pipe Burst,Industrial,PA,KY,1,Y,59500.0,1,0,02/29/2024,05/09/2024,18,6,A,Medium,2.0,0.5,0.5,0.0,2.0,0.0,0.0,102.0,1
CP-0023,Commercial Property,Flood - Sewer Backup,Industrial,MD,MD,0,N,41300.0,1,0,09/13/2024,11/07/2024,6,2,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0024,Commercial Property,Fire - Electrical,Commercial Package,PA,NY,1,N,388900.0,2,1,03/24/2024,11/09/2024,11,0,C,High,5.0,0.8,0.2,0.0,3.0,1.0,1.0,58.2,3
CP-0025,Commercial Property,Water Damage - Pipe Burst,Industrial,NY,WV,1,N,46700.0,2,0,03/28/2024,07/02/2024,8,6,C,High,10.0,0.8,0.2,0.1,6.0,1.0,1.0,61.1,3
CP-0026,Commercial Property,Flood - Surface,Commercial Package,KY,WV,1,N,76000.0,1,0,01/02/2024,10/05/2024,13,0,C,High,8.0,0.625,0.375,0.125,3.0,1.0,1.0,79.6,3
CP-0027,Commercial Property,Fire - Structure,Commercial Package,IL,OH,1,N,300300.0,2,0,02/11/2024,08/26/2024,18,5,C,High,10.0,0.8,0.2,0.1,5.0,0.0,0.0,91.9,3
CP-0028,Commercial Property,Vandalism,Commercial Package,WV,MD,1,N,10400.0,1,0,09/24/2024,03/06/2025,17,1,C,High,12.0,0.5,0.5,0.167,5.0,1.0,1.0,64.1,3
CP-0029,Commercial Property,Flood - Sewer Backup,Industrial,MD,IL,1,N,140600.0,2,0,12/15/2024,05/11/2025,15,1,B,High,3.0,0.667,0.333,0.0,3.0,0.0,0.0,73.5,2
CP-0030,Commercial Property,Flood - Surface,Commercial Package,PA,NY,1,Y,207600.0,1,0,02/11/2024,08/17/2024,13,5,C,High,10.0,0.9,0.1,0.1,5.0,1.0,1.0,127.0,3
CP-0031,Commercial Property,Business Interruption,Commercial Package,NC,MD,1,N,428100.0,3,1,08/12/2024,12/23/2024,12,0,B,High,3.0,0.333,0.667,0.0,3.0,0.0,0.0,143.5,2
CP-0032,Commercial Property,Water Damage - Pipe Burst,Industrial,IN,WV,1,N,86000.0,3,0,07/06/2024,07/23/2024,20,5,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0033,Commercial Property,Fire - Structure,Commercial Package,IN,WV,1,N,568200.0,1,0,06/02/2024,12/11/2024,7,1,C,High,7.0,0.429,0.571,0.143,5.0,0.0,0.0,95.3,3
CP-0034,Commercial Property,Equipment Breakdown,BOP,WV,MD,1,Y,36100.0,2,1,06/02/2024,07/04/2024,16,1,0,Medium,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0035,Commercial Property,Wind/Hail - Roof,Standalone Property,VA,PA,1,N,84200.0,1,0,05/11/2024,01/20/2025,13,1,C,High,7.0,0.714,0.286,0.143,2.0,1.0,1.0,117.5,3
CP-0036,Commercial Property,Vandalism,Commercial Package,IN,PA,1,Y,34600.0,2,1,09/20/2024,05/13/2025,9,0,C,Medium,10.0,0.8,0.2,0.1,6.0,0.0,0.0,100.4,3
CP-0037,Commercial Property,Wind/Hail - Roof,Industrial,PA,PA,0,N,35200.0,1,0,06/22/2024,07/08/2024,20,6,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0038,Commercial Property,Flood - Surface,Industrial,MD,KY,1,N,240200.0,1,0,01/15/2024,02/03/2024,7,2,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0039,Commercial Property,Fire - Structure,Standalone Property,VA,IL,1,N,639800.0,1,0,11/14/2024,06/18/2025,7,1,C,High,7.0,0.714,0.286,0.143,3.0,1.0,1.0,134.8,3
CP-0040,Commercial Property,Wind/Hail - Exterior,Industrial,OH,KY,1,N,73000.0,1,0,02/26/2024,04/25/2024,10,1,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0041,Commercial Property,Flood - Surface,Commercial Package,IN,NC,1,Y,138500.0,2,1,04/21/2024,11/15/2024,16,4,C,High,12.0,0.75,0.25,0.0,5.0,1.0,1.0,84.5,3
CP-0042,Commercial Property,Flood - Surface,BOP,OH,WV,1,N,47700.0,1,0,01/20/2024,05/11/2024,17,4,B,High,4.0,0.5,0.5,0.25,4.0,0.0,0.0,102.7,2
CP-0043,Commercial Property,Flood - Sewer Backup,Commercial Package,VA,NC,1,N,22200.0,2,0,02/20/2024,11/24/2024,6,3,C,High,10.0,0.6,0.4,0.1,6.0,0.0,0.0,101.6,3
CP-0044,Commercial Property,Wind/Hail - Roof,BOP,NY,NC,1,Y,65500.0,1,0,02/10/2024,03/10/2024,6,0,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0045,Commercial Property,Flood - Sewer Backup,Commercial Package,OH,IN,1,N,95300.0,1,0,01/28/2024,08/28/2024,19,0,C,Medium,10.0,0.7,0.3,0.1,3.0,1.0,1.0,103.2,3
CP-0046,Commercial Property,Fire - Structure,Industrial,OH,PA,1,N,544000.0,3,0,09/07/2024,05/14/2025,6,4,C,High,11.0,0.727,0.273,0.0,5.0,0.0,0.0,71.2,3
CP-0047,Commercial Property,Fire - Structure,BOP,IL,NC,1,N,171500.0,1,0,07/27/2024,04/18/2025,16,0,C,High,8.0,0.625,0.375,0.0,6.0,1.0,1.0,77.0,3
CP-0048,Commercial Property,Business Interruption,BOP,MD,WV,1,N,221700.0,1,0,11/05/2024,10/04/2025,12,1,C,Medium,10.0,0.7,0.3,0.0,5.0,1.0,1.0,95.4,3
CP-0049,Commercial Property,Equipment Breakdown,Industrial,NC,VA,1,N,45500.0,3,1,04/13/2024,03/25/2025,15,4,C,Medium,9.0,0.556,0.444,0.111,5.0,0.0,0.0,118.4,3
CP-0050,Commercial Property,Equipment Breakdown,BOP,OH,OH,0,N,14500.0,2,1,05/26/2024,02/27/2025,12,2,C,Medium,12.0,0.75,0.25,0.083,5.0,1.0,1.0,71.8,3
CP-0051,Commercial Property,Wind/Hail - Exterior,BOP,IN,IL,1,N,17300.0,2,1,04/23/2024,08/08/2024,12,1,C,Medium,6.0,0.333,0.667,0.167,4.0,1.0,1.0,49.8,3
CP-0052,Commercial Property,Wind/Hail - Roof,Industrial,KY,MD,1,Y,19500.0,1,0,11/03/2024,06/12/2025,13,6,C,High,10.0,0.7,0.3,0.2,5.0,1.0,1.0,129.9,3
CP-0053,Commercial Property,Flood - Surface,Industrial,NC,PA,1,N,100200.0,1,0,09/12/2024,12/04/2024,11,3,B,High,3.0,0.667,0.333,0.0,3.0,0.0,0.0,118.5,2
CP-0054,Commercial Property,Flood - Sewer Backup,Standalone Property,MD,NC,1,N,116200.0,1,0,02/25/2024,03/30/2024,16,3,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0055,Commercial Property,Flood - Surface,Commercial Package,MD,OH,1,N,32400.0,1,0,02/14/2024,11/21/2024,17,5,C,Medium,8.0,0.75,0.25,0.0,5.0,0.0,0.0,80.1,3
CP-0056,Commercial Property,Flood - Surface,BOP,WV,IL,1,N,200000.0,1,0,02/22/2024,04/22/2024,15,2,B,Medium,3.0,0.333,0.667,0.0,3.0,0.0,0.0,116.5,2
CP-0057,Commercial Property,Flood - Sewer Backup,Standalone Property,OH,MD,1,N,51100.0,3,0,09/01/2024,09/22/2024,7,6,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0058,Commercial Property,Fire - Electrical,Commercial Package,IN,PA,1,N,141200.0,1,0,08/12/2024,11/03/2024,20,5,B,Medium,3.0,0.667,0.333,0.0,3.0,0.0,0.0,82.5,2
CP-0059,Commercial Property,Vandalism,Standalone Property,OH,PA,1,N,18000.0,1,0,08/14/2024,08/30/2024,16,1,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0060,Commercial Property,Fire - Electrical,Industrial,VA,NC,1,N,277300.0,2,0,06/02/2024,04/25/2025,16,1,C,High,5.0,0.4,0.6,0.0,4.0,0.0,0.0,69.5,3
CP-0061,Commercial Property,Fire - Structure,BOP,WV,MD,1,N,758800.0,1,0,01/14/2024,11/01/2024,12,4,C,Medium,10.0,0.8,0.2,0.2,4.0,1.0,1.0,124.2,3
CP-0062,Commercial Property,Business Interruption,BOP,MD,NY,1,N,199700.0,3,1,03/13/2024,10/12/2024,19,3,C,High,5.0,0.8,0.2,0.0,4.0,0.0,0.0,81.2,3
CP-0063,Commercial Property,Vandalism,Standalone Property,VA,NY,1,N,36800.0,1,0,08/10/2024,10/03/2024,9,6,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0064,Commercial Property,Flood - Surface,Commercial Package,IL,IL,0,N,193000.0,3,1,06/21/2024,12/06/2024,8,5,C,High,5.0,0.6,0.4,0.0,4.0,0.0,0.0,136.2,3
CP-0065,Commercial Property,Fire - Electrical,BOP,IN,IL,1,N,223900.0,1,0,01/05/2024,02/11/2024,12,0,0,Medium,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0066,Commercial Property,Wind/Hail - Roof,Standalone Property,IL,OH,1,Y,106000.0,1,0,09/12/2024,12/04/2024,8,2,B,Medium,3.0,0.333,0.667,0.0,3.0,0.0,0.0,22.5,2
CP-0067,Commercial Property,Flood - Surface,BOP,IL,VA,1,Y,49000.0,1,0,08/28/2024,11/21/2024,19,6,A,Medium,3.0,0.667,0.333,0.0,3.0,0.0,0.0,114.5,1
CP-0068,Commercial Property,Equipment Breakdown,BOP,PA,NY,1,Y,38500.0,2,0,06/03/2024,06/27/2024,6,1,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0069,Commercial Property,Wind/Hail - Roof,Standalone Property,PA,PA,0,N,88300.0,1,0,04/05/2024,05/17/2024,7,1,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0070,Commercial Property,Flood - Surface,BOP,KY,PA,1,N,94600.0,1,0,11/20/2024,12/07/2024,13,4,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0071,Commercial Property,Equipment Breakdown,Standalone Property,IL,WV,1,N,11500.0,1,0,02/20/2024,09/20/2024,16,6,C,High,10.0,0.9,0.1,0.0,5.0,1.0,1.0,107.0,3
CP-0072,Commercial Property,Vandalism,Commercial Package,NC,NC,0,N,28800.0,2,0,05/08/2024,07/09/2024,7,4,B,Medium,3.0,0.333,0.667,0.0,3.0,0.0,0.0,92.5,2
CP-0073,Commercial Property,Equipment Breakdown,Standalone Property,KY,VA,1,N,40200.0,3,1,11/23/2024,03/13/2025,15,6,C,High,10.0,0.7,0.3,0.1,6.0,0.0,0.0,124.0,3
CP-0074,Commercial Property,Fire - Electrical,Commercial Package,WV,VA,1,N,385200.0,2,1,06/05/2024,08/13/2024,18,1,A,Medium,2.0,1.0,0.0,0.0,2.0,0.0,0.0,56.0,1
CP-0075,Commercial Property,Water Damage - Pipe Burst,Industrial,PA,NY,1,Y,61200.0,2,0,05/15/2024,10/10/2024,17,0,C,Medium,7.0,0.571,0.429,0.143,4.0,1.0,1.0,100.8,3
CP-0076,Commercial Property,Vandalism,Commercial Package,KY,NY,1,N,25800.0,1,0,09/01/2024,09/25/2024,16,6,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0077,Commercial Property,Wind/Hail - Roof,Commercial Package,NC,PA,1,N,54800.0,2,1,12/16/2024,02/20/2025,11,2,B,High,3.0,0.667,0.333,0.0,3.0,0.0,0.0,90.5,2
CP-0078,Commercial Property,Fire - Structure,Standalone Property,NY,IL,1,N,676400.0,1,0,04/30/2024,11/11/2024,6,0,C,High,9.0,0.778,0.222,0.333,3.0,1.0,1.0,87.8,3
CP-0079,Commercial Property,Fire - Structure,BOP,NC,NC,0,N,758000.0,1,0,11/19/2024,06/28/2025,20,0,C,High,8.0,0.625,0.375,0.0,5.0,1.0,1.0,104.4,3
CP-0080,Commercial Property,Business Interruption,Standalone Property,VA,IL,1,Y,293300.0,1,0,07/30/2024,09/01/2024,8,6,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0081,Commercial Property,Vandalism,Standalone Property,OH,NY,1,N,6700.0,3,1,04/29/2024,07/02/2024,7,1,B,High,3.0,0.333,0.667,0.333,3.0,0.0,0.0,78.5,2
CP-0082,Commercial Property,Wind/Hail - Roof,Standalone Property,OH,OH,0,N,15600.0,2,0,12/31/2024,01/25/2025,11,6,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0083,Commercial Property,Flood - Surface,Industrial,WV,PA,1,N,160100.0,1,0,10/16/2024,06/05/2025,15,4,C,High,6.0,0.833,0.167,0.0,4.0,0.0,0.0,98.4,3
CP-0084,Commercial Property,Water Damage - Pipe Burst,Industrial,NY,PA,1,N,46600.0,2,0,08/23/2024,07/23/2025,7,1,C,High,5.0,0.8,0.2,0.0,4.0,1.0,1.0,109.5,3
CP-0085,Commercial Property,Wind/Hail - Roof,Commercial Package,IL,WV,1,N,54100.0,2,0,01/09/2024,01/27/2024,8,1,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0086,Commercial Property,Business Interruption,Industrial,VA,WV,1,N,257300.0,1,0,03/04/2024,04/01/2024,20,5,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0087,Commercial Property,Vandalism,Commercial Package,NC,WV,1,N,18200.0,1,0,10/02/2024,09/15/2025,19,4,C,High,9.0,0.889,0.111,0.0,4.0,1.0,1.0,74.9,3
CP-0088,Commercial Property,Fire - Electrical,BOP,IL,WV,1,N,252800.0,3,1,01/25/2024,04/22/2024,10,2,A,Low,2.0,0.5,0.5,0.0,2.0,0.0,0.0,158.0,1
CP-0089,Commercial Property,Vandalism,BOP,VA,KY,1,N,29800.0,1,0,12/23/2024,03/27/2025,17,3,C,High,12.0,0.667,0.333,0.083,4.0,1.0,1.0,99.2,3
CP-0090,Commercial Property,Vandalism,Industrial,IL,VA,1,Y,15500.0,2,1,02/07/2024,07/04/2024,17,2,C,High,9.0,0.556,0.444,0.0,5.0,0.0,0.0,85.0,3
CP-0091,Commercial Property,Fire - Structure,Standalone Property,WV,NC,1,Y,647000.0,1,0,01/30/2024,12/07/2024,18,2,C,High,12.0,0.833,0.167,0.083,4.0,1.0,1.0,89.1,3
CP-0092,Commercial Property,Fire - Structure,Standalone Property,NC,IL,1,N,777600.0,1,0,12/29/2024,04/27/2025,18,3,B,High,4.0,0.25,0.75,0.0,4.0,0.0,0.0,104.7,2
CP-0093,Commercial Property,Business Interruption,BOP,PA,VA,1,Y,126500.0,1,0,11/04/2024,12/03/2024,9,0,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0094,Commercial Property,Equipment Breakdown,Industrial,OH,NC,1,N,29300.0,1,0,06/02/2024,04/18/2025,7,5,C,High,10.0,0.8,0.2,0.1,5.0,1.0,1.0,75.0,3
CP-0095,Commercial Property,Flood - Surface,Industrial,IL,IL,0,N,39500.0,1,0,09/14/2024,01/19/2025,9,5,C,High,5.0,0.8,0.2,0.2,3.0,1.0,1.0,103.5,3
CP-0096,Commercial Property,Fire - Electrical,Commercial Package,NY,MD,1,N,245900.0,2,1,02/15/2024,10/25/2024,18,6,C,High,9.0,0.778,0.222,0.111,5.0,1.0,1.0,66.4,3
CP-0097,Commercial Property,Fire - Structure,Industrial,MD,IL,1,N,317700.0,3,0,07/23/2024,06/22/2025,7,1,C,High,12.0,0.667,0.333,0.167,5.0,0.0,0.0,100.7,3
CP-0098,Commercial Property,Business Interruption,Commercial Package,WV,WV,0,N,383600.0,2,1,11/08/2024,06/05/2025,13,5,C,High,6.0,0.5,0.5,0.333,3.0,0.0,0.0,97.0,3
CP-0099,Commercial Property,Fire - Electrical,Standalone Property,PA,NY,1,N,361600.0,1,0,11/18/2024,12/09/2024,16,3,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0100,Commercial Property,Vandalism,Standalone Property,OH,VA,1,N,9300.0,3,1,01/06/2024,09/09/2024,9,6,C,High,10.0,0.7,0.3,0.2,4.0,1.0,1.0,112.6,3
CP-0101,Commercial Property,Equipment Breakdown,Industrial,OH,MD,1,Y,57900.0,3,1,02/22/2024,03/19/2024,16,1,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0102,Commercial Property,Vandalism,Standalone Property,OH,OH,0,N,17300.0,3,1,03/17/2024,05/15/2024,17,6,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0103,Commercial Property,Fire - Structure,Commercial Package,KY,IN,1,N,504000.0,1,0,07/23/2024,09/10/2024,17,4,0,Medium,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0104,Commercial Property,Flood - Sewer Backup,BOP,MD,IL,1,N,111700.0,2,0,10/09/2024,02/06/2025,8,5,C,High,6.0,0.667,0.333,0.0,3.0,1.0,1.0,44.8,3
CP-0105,Commercial Property,Equipment Breakdown,BOP,MD,WV,1,Y,11100.0,1,0,10/21/2024,01/15/2025,11,1,A,Medium,3.0,0.667,0.333,0.0,3.0,0.0,0.0,156.5,1
CP-0106,Commercial Property,Fire - Structure,Industrial,NC,NC,0,Y,314000.0,1,0,02/02/2024,11/18/2024,18,3,C,High,7.0,0.571,0.429,0.0,4.0,0.0,0.0,64.8,3
CP-0107,Commercial Property,Water Damage - Pipe Burst,Standalone Property,NY,WV,1,Y,18500.0,1,0,08/09/2024,09/22/2024,14,1,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0108,Commercial Property,Wind/Hail - Roof,Commercial Package,PA,KY,1,N,56200.0,1,0,07/21/2024,09/12/2024,7,6,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0109,Commercial Property,Water Damage - Pipe Burst,BOP,WV,MD,1,Y,67700.0,3,1,06/09/2024,01/28/2025,10,6,C,High,9.0,0.667,0.333,0.111,4.0,1.0,1.0,80.6,3
CP-0110,Commercial Property,Equipment Breakdown,Commercial Package,NY,IN,1,N,17500.0,3,1,11/03/2024,12/15/2024,15,6,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0111,Commercial Property,Business Interruption,Industrial,IN,IL,1,N,381500.0,1,0,10/23/2024,11/21/2024,16,5,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0112,Commercial Property,Vandalism,BOP,IN,NC,1,N,16400.0,3,0,10/20/2024,08/30/2025,7,6,C,High,9.0,0.667,0.333,0.0,6.0,0.0,0.0,99.6,3
CP-0113,Commercial Property,Vandalism,Standalone Property,NC,IL,1,Y,9300.0,1,0,06/11/2024,10/10/2024,9,3,B,High,3.0,0.667,0.333,0.0,3.0,0.0,0.0,67.5,2
CP-0114,Commercial Property,Fire - Electrical,Commercial Package,WV,NY,1,N,263300.0,1,0,07/20/2024,08/11/2024,7,2,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0115,Commercial Property,Fire - Electrical,Standalone Property,NC,IL,1,N,272300.0,1,0,08/14/2024,05/21/2025,11,2,C,Medium,9.0,0.667,0.333,0.222,4.0,1.0,1.0,90.2,3
CP-0116,Commercial Property,Fire - Electrical,Commercial Package,IN,NC,1,N,252200.0,2,0,09/06/2024,10/16/2024,16,5,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0117,Commercial Property,Wind/Hail - Roof,BOP,IN,PA,1,N,89400.0,1,0,04/28/2024,11/04/2024,11,3,C,High,11.0,0.545,0.455,0.182,5.0,0.0,0.0,93.4,3
CP-0118,Commercial Property,Fire - Electrical,Commercial Package,NY,MD,1,N,328700.0,2,0,02/22/2024,09/29/2024,7,2,C,High,5.0,0.6,0.4,0.0,4.0,1.0,1.0,106.5,3
CP-0119,Commercial Property,Business Interruption,Commercial Package,PA,IL,1,N,272900.0,2,1,05/06/2024,12/18/2024,15,2,C,High,5.0,0.8,0.2,0.0,3.0,1.0,1.0,116.0,3
CP-0120,Commercial Property,Fire - Structure,Industrial,OH,IL,1,N,479300.0,1,0,04/22/2024,07/26/2024,16,4,B,High,4.0,0.75,0.25,0.0,3.0,1.0,1.0,53.3,2
CP-0121,Commercial Property,Business Interruption,Industrial,NC,KY,1,Y,422700.0,1,0,10/23/2024,12/06/2024,7,1,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0122,Commercial Property,Vandalism,BOP,IL,WV,1,N,10300.0,1,0,09/26/2024,01/08/2025,9,2,C,High,6.0,0.833,0.167,0.167,4.0,1.0,1.0,132.4,3
CP-0123,Commercial Property,Wind/Hail - Roof,Industrial,VA,NY,1,N,48300.0,1,0,08/15/2024,07/04/2025,20,6,C,High,12.0,0.667,0.333,0.167,6.0,1.0,1.0,79.0,3
CP-0124,Commercial Property,Wind/Hail - Roof,BOP,NY,IN,1,N,111500.0,2,1,08/27/2024,02/24/2025,11,5,C,High,8.0,0.625,0.375,0.125,4.0,0.0,0.0,115.0,3
CP-0125,Commercial Property,Wind/Hail - Exterior,Industrial,IL,IL,0,Y,39400.0,1,0,08/24/2024,02/09/2025,13,1,C,High,12.0,0.667,0.333,0.167,5.0,1.0,1.0,96.8,3
CP-0126,Commercial Property,Business Interruption,Industrial,NY,WV,1,N,453400.0,1,0,11/29/2024,09/20/2025,19,2,C,High,11.0,0.818,0.182,0.091,6.0,1.0,1.0,89.0,3
CP-0127,Commercial Property,Flood - Surface,Industrial,MD,VA,1,N,69800.0,1,0,07/07/2024,08/28/2024,9,0,0,Medium,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0128,Commercial Property,Fire - Electrical,BOP,NY,OH,1,N,378400.0,1,0,07/05/2024,10/06/2024,7,1,B,Medium,3.0,0.667,0.333,0.0,3.0,0.0,0.0,166.0,2
CP-0129,Commercial Property,Vandalism,Industrial,IL,IL,0,N,30700.0,2,1,08/01/2024,12/13/2024,8,6,C,High,5.0,0.8,0.2,0.2,4.0,1.0,1.0,48.5,3
CP-0130,Commercial Property,Wind/Hail - Roof,Standalone Property,MD,VA,1,N,25900.0,1,0,12/13/2024,08/04/2025,6,6,C,Medium,10.0,0.7,0.3,0.1,3.0,1.0,1.0,63.6,3
